subject,age,word_type,set,item,letter_first,session,sentence,order,response,letterwrite,correct
S02,4.82739726,0,B,dirt,d,2,Don't play in the dirt,12,d,0.857142857,1
S03,5.098630137,0,A,tower,t,1,The children wanted to climb the tower,1,t,1,1
S03,5.098630137,0,A,cup,k,1,She drank water from a blue cup,2,con,1,1
S03,5.098630137,0,A,butter,b,1,The boy ate his bread with some butter,3,boa,1,1
S03,5.098630137,0,A,pet,p,1,She wants to get a pet,4,porleb,1,1
S03,5.098630137,0,A,bed,b,1,He slept in a bed,5,bloer,1,1
S03,5.098630137,0,A,touch,t,1,Please don't touch the animals,6,tleth,1,1
S03,5.098630137,0,A,cook,k,1,Grandpa is a good cook,7,cathol,1,1
S03,5.098630137,0,A,bun,b,1,The hotdog is on a bun,8,bor,1,1
S03,5.098630137,0,A,patch,p,1,Mom sewed a patch on his jeans,9,bthe,1,0
S03,5.098630137,0,A,jet,j,1,The pilot flew a jet,10,jacob,1,1
S03,5.098630137,0,A,bird,b,1,My friend saw a cute little bird,11,brrthlao,1,1
S03,5.098630137,0,A,dollar,d,1,Can you give me a dollar?,12,dtaahar,1,1
S03,5.098630137,1,A,beach,b,2,I like to go to the beach,1,bepant,1,1
S03,5.098630137,1,A,jail,j,2,The robber went to jail,2,jacob,1,1
S03,5.098630137,1,A,peach,p,2,Susan ate some peach pie for dessert,3,bth,1,0
S03,5.098630137,1,A,teepee,t,2,It's fun to sleep in a teepee,4,ttn,1,1
S03,5.098630137,1,A,case,k,2,She kept her jewelry in a case,5,kthkk,1,1
S03,5.098630137,1,A,piece,p,2,There was a missing puzzle piece,6,bte,1,0
S03,5.098630137,1,A,bead,b,2,She found a little bead,7,btpth,1,1
S03,5.098630137,1,A,cake,k,2,The family eats yummy cake,8,kke,1,1
S03,5.098630137,1,A,deeper,d,2,Can you make the hole deeper?,9,dttil,1,1
S03,5.098630137,1,A,teach,t,2,She loves to teach her students,10,tth,1,1
S03,5.098630137,1,A,beaver,b,2,The boy wrote a story about a beaver,11,bpt,1,1
S03,5.098630137,1,A,bean,b,2,Jack bought a magic bean,12,bt,1,1
S04,5.109589041,0,B,bib,b,1,The baby wears a bib,1,r,0.714285714,0
S04,5.109589041,0,B,cap,k,1,The boy wore his favorite cap,2,on,0.714285714,0
S04,5.109589041,0,B,jam,g,1,Mom bought a jar of jam,3,e,0.714285714,0
S04,5.109589041,0,B,bat,b,1,She hit the ball with a bat,4,eo,0.714285714,0
S04,5.109589041,0,B,pill,p,1,The doctor gave the man a pill,5,e,0.714285714,0
S04,5.109589041,0,B,dirt,d,1,Don't play in the dirt,6,ro,0.714285714,0
S04,5.109589041,0,B,bus,b,1,We rode on a bus,7,,0.714285714,0
S04,5.109589041,0,B,turtle,t,1,In the book I saw a picture of a turtle,8,eo,0.714285714,0
S04,5.109589041,0,B,battle,b,1,The soldiers fight in a battle,9,er,0.714285714,0
S04,5.109589041,0,B,tag,t,1,The kids played a game of tag,10,e,0.714285714,0
S04,5.109589041,0,B,come,k,1,Today the package will come,11,oe,0.714285714,0
S04,5.109589041,0,B,picture,p,1,She smiled for the picture,12,or,0.714285714,0
S04,5.109589041,1,B,teacher,t,2,When I grow up I want to be a teacher,1,t,0.714285714,1
S04,5.109589041,1,B,peel,p,2,The clown slipped on a banana peel,2,o,0.714285714,0
S04,5.109589041,1,B,beet,b,2,He didn't want to eat the beet,3,e,0.714285714,0
S04,5.109589041,1,B,beef,b,2,Hamburgers are made of beef,4,e,0.714285714,0
S04,5.109589041,1,B,team,t,2,The girl cheered for her favorite team,5,e,0.714285714,0
S04,5.109589041,1,B,pizza,p,2,Her favorite food is pizza,6,n,0.714285714,0
S04,5.109589041,1,B,came,k,2,"Yesterday, the big package came",7,ir,0.714285714,0
S04,5.109589041,1,B,cave,k,2,The children explored the spooky cave,8,oe,0.714285714,0
S04,5.109589041,1,B,jeep,g,2,His mom drives a black jeep,9,e,0.714285714,0
S04,5.109589041,1,B,deal,d,2,Let's make a deal,10,eow,0.714285714,0
S04,5.109589041,1,B,beetle,b,2,The ladybug talks to the beetle,11,eo,0.714285714,0
S04,5.109589041,1,B,beep,b,2,"The shiny robot says ""beep""",12,oooo,0.714285714,0
S05,5.090410959,1,A,teach,t,1,She loves to teach her students,1,t,0.714285714,1
S05,5.090410959,1,A,bean,b,1,Jack bought a magic bean,2,j,0.714285714,0
S05,5.090410959,1,A,beach,b,1,I like to go to the beach,3,v,0.714285714,0
S05,5.090410959,1,A,case,k,1,She kept her jewelry in a case,4,k,0.714285714,1
S05,5.090410959,1,A,piece,p,1,There was a missing puzzle piece,5,p,0.714285714,1
S05,5.090410959,1,A,deeper,d,1,Can you make the hole deeper?,6,d,0.714285714,1
S05,5.090410959,1,A,teepee,t,1,It's fun to sleep in a teepee,7,t,0.714285714,1
S05,5.090410959,1,A,bead,b,1,She found a little bead,8,b,0.714285714,1
S05,5.090410959,1,A,cake,k,1,The family eats yummy cake,9,c,0.714285714,1
S05,5.090410959,1,A,peach,p,1,Susan ate some peach pie for dessert,10,p,0.714285714,1
S05,5.090410959,1,A,beaver,b,1,The boy wrote a story about a beaver,11,b,0.714285714,1
S05,5.090410959,1,A,jail,j,1,The robber went to jail,12,j,0.714285714,1
S05,5.090410959,0,A,dollar,d,2,Can you give me a dollar?,1,d,0.714285714,1
S05,5.090410959,0,A,pet,p,2,She wants to get a pet,2,d,0.714285714,0
S05,5.090410959,0,A,jet,j,2,The pilot flew a jet,3,j,0.714285714,1
S05,5.090410959,0,A,bird,b,2,My friend saw a cute little bird,4,p,0.714285714,0
S05,5.090410959,0,A,bun,b,2,The hotdog is on a bun,5,b,0.714285714,1
S05,5.090410959,0,A,touch,t,2,Please don't touch the animals,6,,0.714285714,0
S05,5.090410959,0,A,patch,p,2,Mom sewed a patch on his jeans,7,b,0.714285714,0
S05,5.090410959,0,A,cook,k,2,Grandpa is a good cook,8,d,0.714285714,0
S05,5.090410959,0,A,cup,k,2,She drank water from a blue cup,9,c,0.714285714,1
S05,5.090410959,0,A,tower,t,2,The children wanted to climb the tower,10,e,0.714285714,0
S05,5.090410959,0,A,bed,b,2,He slept in a bed,11,m,0.714285714,0
S05,5.090410959,0,A,butter,b,2,The boy ate his bread with some butter,12,d,0.714285714,0
S06,5.263013699,1,B,beet,b,1,He didn't want to eat the beet,1,bt,0.857142857,1
S06,5.263013699,1,B,deal,d,1,Let's make a deal,2,dl,0.857142857,1
S06,5.263013699,1,B,beetle,b,1,The ladybug talks to the beetle,3,bi,0.857142857,1
S06,5.263013699,1,B,jeep,g,1,His mom drives a black jeep,4,jp,0.857142857,1
S06,5.263013699,1,B,team,t,1,The girl cheered for her favorite team,5,tm,0.857142857,1
S06,5.263013699,1,B,peel,p,1,The clown slipped on a banana peel,6,pl,0.857142857,1
S06,5.263013699,1,B,beep,b,1,"The shiny robot says ""beep""",7,bp,0.857142857,1
S06,5.263013699,1,B,came,k,1,"Yesterday, the big package came",8,km,0.857142857,1
S06,5.263013699,1,B,pizza,p,1,Her favorite food is pizza,9,p,0.857142857,1
S06,5.263013699,1,B,beef,b,1,Hamburgers are made of beef,10,bf,0.857142857,1
S06,5.263013699,1,B,teacher,t,1,When I grow up I want to be a teacher,11,th,0.857142857,1
S06,5.263013699,1,B,cave,k,1,The children explored the spooky cave,12,c,0.857142857,1
S06,5.263013699,0,B,cap,k,2,The boy wore his favorite cap,1,c,0.857142857,1
S06,5.263013699,0,B,picture,p,2,She smiled for the picture,2,p,0.857142857,1
S06,5.263013699,0,B,bus,b,2,We rode on a bus,3,b,0.857142857,1
S06,5.263013699,0,B,tag,t,2,The kids played a game of tag,4,t,0.857142857,1
S06,5.263013699,0,B,come,k,2,Today the package will come,5,c,0.857142857,1
S06,5.263013699,0,B,bib,b,2,The baby wears a bib,6,b,0.857142857,1
S06,5.263013699,0,B,turtle,t,2,In the book I saw a picture of a turtle,7,t,0.857142857,1
S06,5.263013699,0,B,battle,b,2,The soldiers fight in a battle,8,b,0.857142857,1
S06,5.263013699,0,B,pill,p,2,The doctor gave the man a pill,9,p,0.857142857,1
S06,5.263013699,0,B,dirt,d,2,Don't play in the dirt,10,d,0.857142857,1
S06,5.263013699,0,B,bat,b,2,She hit the ball with a bat,11,b,0.857142857,1
S06,5.263013699,0,B,jam,g,2,Mom bought a jar of jam,12,b,0.857142857,0
S07,4.923287671,0,A,cup,k,1,She drank water from a blue cup,1,a,0.142857143,0
S07,4.923287671,0,A,jet,j,1,The pilot flew a jet,2,e,0.142857143,0
S07,4.923287671,0,A,bird,b,1,My friend saw a cute little bird,3,e,0.142857143,0
S07,4.923287671,0,A,tower,t,1,The children wanted to climb the tower,4,,0.142857143,0
S07,4.923287671,0,A,butter,b,1,The boy ate his bread with some butter,5,k,0.142857143,0
S07,4.923287671,0,A,patch,p,1,Mom sewed a patch on his jeans,6,x,0.142857143,0
S07,4.923287671,0,A,pet,p,1,She wants to get a pet,7,k,0.142857143,0
S07,4.923287671,0,A,bed,b,1,He slept in a bed,8,o,0.142857143,0
S07,4.923287671,0,A,dollar,d,1,Can you give me a dollar?,9,s,0.142857143,0
S07,4.923287671,0,A,bun,b,1,The hotdog is on a bun,10,a,0.142857143,0
S07,4.923287671,0,A,cook,k,1,Grandpa is a good cook,11,i,0.142857143,0
S07,4.923287671,0,A,touch,t,1,Please don't touch the animals,12,q,0.142857143,0
S07,4.923287671,1,A,piece,p,2,There was a missing puzzle piece,1,ac,0.142857143,0
S07,4.923287671,1,A,teach,t,2,She loves to teach her students,2,iseoa,0.142857143,0
S07,4.923287671,1,A,cake,k,2,The family eats yummy cake,3,asse,0.142857143,0
S07,4.923287671,1,A,beach,b,2,I like to go to the beach,4,a,0.142857143,0
S07,4.923287671,1,A,bean,b,2,Jack bought a magic bean,5,ca,0.142857143,0
S07,4.923287671,1,A,jail,j,2,The robber went to jail,6,oaseo,0.142857143,0
S07,4.923287671,1,A,peach,p,2,Susan ate some peach pie for dessert,7,aee,0.142857143,0
S07,4.923287671,1,A,teepee,t,2,It's fun to sleep in a teepee,8,c,0.142857143,0
S07,4.923287671,1,A,case,k,2,She kept her jewelry in a case,9,eee,0.142857143,0
S07,4.923287671,1,A,deeper,d,2,Can you make the hole deeper?,10,aaa,0.142857143,0
S07,4.923287671,1,A,beaver,b,2,The boy wrote a story about a beaver,11,appp,0.142857143,0
S07,4.923287671,1,A,bead,b,2,She found a little bead,12,aei,0.142857143,0
S08,5.4,0,B,battle,b,1,The soldiers fight in a battle,1,lwrync,0.571428571,0
S08,5.4,0,B,tag,t,1,The kids played a game of tag,2,dlcwpryc,0.571428571,0
S08,5.4,0,B,bat,b,1,She hit the ball with a bat,3,cwpbrbvyn,0.571428571,0
S08,5.4,0,B,bib,b,1,The baby wears a bib,4,cbwdzprynuoo,0.571428571,0
S08,5.4,0,B,pill,p,1,The doctor gave the man a pill,5,cewmrplce,0.571428571,0
S08,5.4,0,B,turtle,t,1,In the book I saw a picture of a turtle,6,ecaamrpz,0.571428571,0
S08,5.4,0,B,picture,p,1,She smiled for the picture,7,ecwrpz,0.571428571,0
S08,5.4,0,B,jam,g,1,Mom bought a jar of jam,8,eoooevhhz,0.571428571,0
S08,5.4,0,B,cap,k,1,The boy wore his favorite cap,9,cwrhel,0.571428571,1
S08,5.4,0,B,bus,b,1,We rode on a bus,10,ceawhmrc,0.571428571,0
S08,5.4,0,B,dirt,d,1,Don't play in the dirt,11,cworeylwoov,0.571428571,0
S08,5.4,0,B,come,k,1,Today the package will come,12,camwrpwo,0.571428571,1
S08,5.4,1,B,peel,p,2,The clown slipped on a banana peel,1,amrpyzshwrp,0.571428571,0
S08,5.4,1,B,beep,b,2,"The shiny robot says ""beep""",2,pwobbb,0.571428571,0
S08,5.4,1,B,came,k,2,"Yesterday, the big package came",3,belcawrw,0.571428571,0
S08,5.4,1,B,teacher,t,2,When I grow up I want to be a teacher,4,bllelecc,0.571428571,0
S08,5.4,1,B,deal,d,2,Let's make a deal,5,erwoo,0.571428571,0
S08,5.4,1,B,cave,k,2,The children explored the spooky cave,6,ram,0.571428571,0
S08,5.4,1,B,pizza,p,2,Her favorite food is pizza,7,ellrrr,0.571428571,0
S08,5.4,1,B,beet,b,2,He didn't want to eat the beet,8,brrrrln,0.571428571,1
S08,5.4,1,B,team,t,2,The girl cheered for her favorite team,9,effl,0.571428571,0
S08,5.4,1,B,jeep,g,2,His mom drives a black jeep,10,ooerrf,0.571428571,0
S08,5.4,1,B,beef,b,2,Hamburgers are made of beef,11,bebdb,0.571428571,1
S08,5.4,1,B,beetle,b,2,The ladybug talks to the beetle,12,aeef,0.571428571,0
S10,4.956164384,1,B,beet,b,1,He didn't want to eat the beet,1,s,0.428571429,0
S10,4.956164384,1,B,came,k,1,"Yesterday, the big package came",2,a,0.428571429,0
S10,4.956164384,1,B,pizza,p,1,Her favorite food is pizza,3,d,0.428571429,0
S10,4.956164384,1,B,jeep,g,1,His mom drives a black jeep,4,o,0.428571429,0
S10,4.956164384,1,B,deal,d,1,Let's make a deal,5,m,0.428571429,0
S10,4.956164384,1,B,cave,k,1,The children explored the spooky cave,6,u,0.428571429,0
S10,4.956164384,1,B,beef,b,1,Hamburgers are made of beef,7,d,0.428571429,0
S10,4.956164384,1,B,teacher,t,1,When I grow up I want to be a teacher,8,w,0.428571429,0
S10,4.956164384,1,B,beep,b,1,"The shiny robot says ""beep""",9,b,0.428571429,1
S10,4.956164384,1,B,beetle,b,1,The ladybug talks to the beetle,10,k,0.428571429,0
S10,4.956164384,1,B,peel,p,1,The clown slipped on a banana peel,11,e,0.428571429,0
S10,4.956164384,1,B,team,t,1,The girl cheered for her favorite team,12,c,0.428571429,0
S10,4.956164384,0,B,battle,b,2,The soldiers fight in a battle,1,s,0.428571429,0
S10,4.956164384,0,B,pill,p,2,The doctor gave the man a pill,2,a,0.428571429,0
S10,4.956164384,0,B,tag,t,2,The kids played a game of tag,3,o,0.428571429,0
S10,4.956164384,0,B,bib,b,2,The baby wears a bib,4,b,0.428571429,1
S10,4.956164384,0,B,cap,k,2,The boy wore his favorite cap,5,a,0.428571429,0
S10,4.956164384,0,B,bus,b,2,We rode on a bus,6,d,0.428571429,0
S10,4.956164384,0,B,picture,p,2,She smiled for the picture,7,b,0.428571429,0
S10,4.956164384,0,B,dirt,d,2,Don't play in the dirt,8,a,0.428571429,0
S10,4.956164384,0,B,turtle,t,2,In the book I saw a picture of a turtle,9,e,0.428571429,0
S10,4.956164384,0,B,come,k,2,Today the package will come,10,b,0.428571429,0
S10,4.956164384,0,B,bat,b,2,She hit the ball with a bat,11,s,0.428571429,0
S10,4.956164384,0,B,jam,g,2,Mom bought a jar of jam,12,q,0.428571429,0
S11,4.920547945,0,A,pet,p,1,She wants to get a pet,1,p,0.857142857,1
S11,4.920547945,0,A,cook,k,1,Grandpa is a good cook,2,k,0.857142857,1
S11,4.920547945,0,A,bun,b,1,The hotdog is on a bun,3,b,0.857142857,1
S11,4.920547945,0,A,jet,j,1,The pilot flew a jet,4,j,0.857142857,1
S11,4.920547945,0,A,cup,k,1,She drank water from a blue cup,5,k,0.857142857,1
S11,4.920547945,0,A,touch,t,1,Please don't touch the animals,6,j,0.857142857,0
S11,4.920547945,0,A,tower,t,1,The children wanted to climb the tower,7,t,0.857142857,1
S11,4.920547945,0,A,patch,p,1,Mom sewed a patch on his jeans,8,p,0.857142857,1
S11,4.920547945,0,A,dollar,d,1,Can you give me a dollar?,9,d,0.857142857,1
S11,4.920547945,0,A,butter,b,1,The boy ate his bread with some butter,10,b,0.857142857,1
S11,4.920547945,0,A,bed,b,1,He slept in a bed,11,b,0.857142857,1
S11,4.920547945,0,A,bird,b,1,My friend saw a cute little bird,12,b,0.857142857,1
S11,4.920547945,1,A,bean,b,2,Jack bought a magic bean,1,b,0.857142857,1
S11,4.920547945,1,A,deeper,d,2,Can you make the hole deeper?,2,d,0.857142857,1
S11,4.920547945,1,A,beach,b,2,I like to go to the beach,3,b,0.857142857,1
S11,4.920547945,1,A,beaver,b,2,The boy wrote a story about a beaver,4,b,0.857142857,1
S11,4.920547945,1,A,peach,p,2,Susan ate some peach pie for dessert,5,p,0.857142857,1
S11,4.920547945,1,A,bead,b,2,She found a little bead,6,b,0.857142857,1
S11,4.920547945,1,A,cake,k,2,The family eats yummy cake,7,k,0.857142857,1
S11,4.920547945,1,A,case,k,2,She kept her jewelry in a case,8,k,0.857142857,1
S11,4.920547945,1,A,teach,t,2,She loves to teach her students,9,t,0.857142857,1
S11,4.920547945,1,A,piece,p,2,There was a missing puzzle piece,10,b,0.857142857,0
S11,4.920547945,1,A,teepee,t,2,It's fun to sleep in a teepee,11,t,0.857142857,1
S11,4.920547945,1,A,jail,j,2,The robber went to jail,12,j,0.857142857,1
S12,5.347945205,0,B,cap,k,1,The boy wore his favorite cap,1,beppbaaynnna,0.571428571,0
S12,5.347945205,0,B,picture,p,1,She smiled for the picture,2,efftdztptaoa,0.571428571,0
S12,5.347945205,0,B,bib,b,1,The baby wears a bib,3,eillmapyb,0.571428571,0
S12,5.347945205,0,B,pill,p,1,The doctor gave the man a pill,4,bpennzbillmnn,0.571428571,0
S12,5.347945205,0,B,bat,b,1,She hit the ball with a bat,5,ebpiillllima,0.571428571,0
S12,5.347945205,0,B,battle,b,1,The soldiers fight in a battle,6,bbbbbllllinm,0.571428571,1
S12,5.347945205,0,B,jam,g,1,Mom bought a jar of jam,7,malllbbbbbbli,0.571428571,0
S12,5.347945205,0,B,come,k,1,Today the package will come,8,ooooillllno,0.571428571,0
S12,5.347945205,0,B,turtle,t,1,In the book I saw a picture of a turtle,9,oooomioonmiiioiooia,0.571428571,0
S12,5.347945205,0,B,dirt,d,1,Don't play in the dirt,10,mllllioiionnoiionn,0.571428571,0
S12,5.347945205,0,B,bus,b,1,We rode on a bus,11,ssttefobs,0.571428571,0
S12,5.347945205,0,B,tag,t,1,The kids played a game of tag,12,scoem,0.571428571,0
S12,5.347945205,1,B,beep,b,2,"The shiny robot says ""beep""",1,belbbbla,0.571428571,1
S12,5.347945205,1,B,teacher,t,2,When I grow up I want to be a teacher,2,aaaaaaaabbbbbpppppd,0.571428571,0
S12,5.347945205,1,B,team,t,2,The girl cheered for her favorite team,3,fffffff,0.571428571,0
S12,5.347945205,1,B,beetle,b,2,The ladybug talks to the beetle,4,bpbpbpbpbpbp,0.571428571,1
S12,5.347945205,1,B,beet,b,2,He didn't want to eat the beet,5,aaapblinmooi,0.571428571,0
S12,5.347945205,1,B,peel,p,2,The clown slipped on a banana peel,6,ooooooooooo,0.571428571,0
S12,5.347945205,1,B,came,k,2,"Yesterday, the big package came",7,llllllllllllllllllllllllllllllllllllllllll,0.571428571,0
S12,5.347945205,1,B,pizza,p,2,Her favorite food is pizza,8,pnym,0.571428571,1
S12,5.347945205,1,B,beef,b,2,Hamburgers are made of beef,9,nnnooooooooooooooooooooo,0.571428571,0
S12,5.347945205,1,B,jeep,g,2,His mom drives a black jeep,10,aie,0.571428571,0
S12,5.347945205,1,B,deal,d,2,Let's make a deal,11,mpe,0.571428571,0
S12,5.347945205,1,B,cave,k,2,The children explored the spooky cave,12,deli,0.571428571,0
S13,5.030136986,1,A,beaver,b,1,The boy wrote a story about a beaver,1,bci,0.714285714,1
S13,5.030136986,1,A,beach,b,1,I like to go to the beach,2,bcl,0.714285714,1
S13,5.030136986,1,A,case,k,1,She kept her jewelry in a case,3,klo,0.714285714,1
S13,5.030136986,1,A,peach,p,1,Susan ate some peach pie for dessert,4,cb,0.714285714,0
S13,5.030136986,1,A,cake,k,1,The family eats yummy cake,5,kc,0.714285714,1
S13,5.030136986,1,A,piece,p,1,There was a missing puzzle piece,6,bc,0.714285714,0
S13,5.030136986,1,A,bean,b,1,Jack bought a magic bean,7,bi,0.714285714,1
S13,5.030136986,1,A,deeper,d,1,Can you make the hole deeper?,8,dc,0.714285714,1
S13,5.030136986,1,A,teach,t,1,She loves to teach her students,9,db,0.714285714,0
S13,5.030136986,1,A,teepee,t,1,It's fun to sleep in a teepee,10,tb,0.714285714,1
S13,5.030136986,1,A,jail,j,1,The robber went to jail,11,i,0.714285714,0
S13,5.030136986,1,A,bead,b,1,She found a little bead,12,bi,0.714285714,1
S13,5.030136986,0,A,butter,b,2,The boy ate his bread with some butter,1,bis,0.714285714,1
S13,5.030136986,0,A,tower,t,2,The children wanted to climb the tower,2,tsi,0.714285714,1
S13,5.030136986,0,A,pet,p,2,She wants to get a pet,3,pis,0.714285714,1
S13,5.030136986,0,A,cook,k,2,Grandpa is a good cook,4,pis,0.714285714,0
S13,5.030136986,0,A,bird,b,2,My friend saw a cute little bird,5,bis,0.714285714,1
S13,5.030136986,0,A,bun,b,2,The hotdog is on a bun,6,bis,0.714285714,1
S13,5.030136986,0,A,touch,t,2,Please don't touch the animals,7,tis,0.714285714,1
S13,5.030136986,0,A,bed,b,2,He slept in a bed,8,bis,0.714285714,1
S13,5.030136986,0,A,patch,p,2,Mom sewed a patch on his jeans,9,bis,0.714285714,0
S13,5.030136986,0,A,jet,j,2,The pilot flew a jet,10,gis,0.714285714,1
S13,5.030136986,0,A,dollar,d,2,Can you give me a dollar?,11,dis,0.714285714,1
S13,5.030136986,0,A,cup,k,2,She drank water from a blue cup,12,ki,0.714285714,1
S14,4.630136986,1,B,peel,p,1,The clown slipped on a banana peel,1,l,0.714285714,0
S14,4.630136986,1,B,beet,b,1,He didn't want to eat the beet,2,b,0.714285714,1
S14,4.630136986,1,B,pizza,p,1,Her favorite food is pizza,3,u,0.714285714,0
S14,4.630136986,1,B,came,k,1,"Yesterday, the big package came",4,a,0.714285714,0
S14,4.630136986,1,B,cave,k,1,The children explored the spooky cave,5,k,0.714285714,1
S14,4.630136986,1,B,beef,b,1,Hamburgers are made of beef,6,b,0.714285714,1
S14,4.630136986,1,B,team,t,1,The girl cheered for her favorite team,7,t,0.714285714,1
S14,4.630136986,1,B,beetle,b,1,The ladybug talks to the beetle,8,b,0.714285714,1
S14,4.630136986,1,B,teacher,t,1,When I grow up I want to be a teacher,9,t,0.714285714,1
S14,4.630136986,1,B,jeep,g,1,His mom drives a black jeep,10,g,0.714285714,1
S14,4.630136986,1,B,beep,b,1,"The shiny robot says ""beep""",11,b,0.714285714,1
S14,4.630136986,1,B,deal,d,1,Let's make a deal,12,d,0.714285714,1
S14,4.630136986,0,B,battle,b,2,The soldiers fight in a battle,1,a,0.714285714,0
S14,4.630136986,0,B,dirt,d,2,Don't play in the dirt,2,b,0.714285714,0
S14,4.630136986,0,B,bat,b,2,She hit the ball with a bat,3,a,0.714285714,0
S14,4.630136986,0,B,jam,g,2,Mom bought a jar of jam,4,g,0.714285714,1
S14,4.630136986,0,B,tag,t,2,The kids played a game of tag,5,u,0.714285714,0
S14,4.630136986,0,B,turtle,t,2,In the book I saw a picture of a turtle,6,t,0.714285714,1
S14,4.630136986,0,B,bus,b,2,We rode on a bus,7,b,0.714285714,1
S14,4.630136986,0,B,bib,b,2,The baby wears a bib,8,a,0.714285714,0
S14,4.630136986,0,B,picture,p,2,She smiled for the picture,9,g,0.714285714,0
S14,4.630136986,0,B,cap,k,2,The boy wore his favorite cap,10,d,0.714285714,0
S14,4.630136986,0,B,pill,p,2,The doctor gave the man a pill,11,l,0.714285714,0
S14,4.630136986,0,B,come,k,2,Today the package will come,12,u,0.714285714,0
S15,4.947945205,0,A,bird,b,1,My friend saw a cute little bird,1,b,0.714285714,1
S15,4.947945205,0,A,dollar,d,1,Can you give me a dollar?,2,d,0.714285714,1
S15,4.947945205,0,A,jet,j,1,The pilot flew a jet,3,j,0.714285714,1
